Banglish,Hate
shala murkho bharoter armi,hate
ei nirjatoner jobab ki kal byaloter maddhome dite parben na,hate
bharoter nam bollei ar kichhu lagbena,hate
bharoter uchit pakistaner paye dhore khoma chaoya,hate
daud ibrahim bharotiyo chilo se mumbai bispharne er upor niriho manush hotta korechilo se ekhon porkistane,hate
bharoter itihaser sobceye nirlojjo pleyar sourbhobarbar opomaner poreo khelar shokh meteni,hate
amontrner proyujon nai rendiya achhena bangladesher pokkhe theke,hate
24 bocchor eksathe theke bal chhirechhe ekhon ek hoye ati badhobe,hate
sontrasi hamla bole gujob chhorano thik noyo pakistani senabahini hamla koreche sei kotha bole din bharoter senabahini ghumiye thake naki,hate
amra kangladeshi magi chudte bhalobasi,hate
ete labh ki bharote goyendara tar kon aporad khuje paina apnara koi pailen hok kotha bole to bhai tai ekhon jongi bananor natok cholche ei midiyaragula jongi era nobeler ashai egula kore suchi nobel peyechhe amar ta mis korbo keno,hate
nijoswo motamoter shadhinota jemon obosshoi achhe temoni dokkhin eshiyar rajniti na bojhar byarthtar daybharo aponakei nite hobe ami shotobhag nishit jara bharoter byarthtayo anondo prokash korche tara kehoi pakishan premik noyo borong sobai bangladesher proti bharoter byaboharer protibad janacchhe,hate
montri smriti irani er modhediye ki bujate cheyechhe ebong bishwke bujachhen je bharot borsher montrira ekodhom sadharon jonogon tobe ja dekhalen bhalo dekhalen dhonnobad,hate
shibir rg kate ar chatrolig matha kate police sei matha khuje berayo,hate
roder bodole bash unnyner name e kon sorbnash,hate
bharoter khub beshihole koyek ghonta somoy lagbe pakistan khalisthan hoye jabe bastobe phirun intarnet e sarcho koren dekhen shoktir indekso kot pharako,hate
nastik sorkare bondhu bharoter phayar sabhis bangladeshe ajobo,hate
se to hobei dadar barir bharot bole kotha,hate
jot ajogbhi kotha awamiliger amole bharot koyo,hate
bharot amader bondu tai to bhalo chayna sobai buje kintu amader sorkaridoler oneke bujena,hate
bharoter jonogon ki bokachoda bangladesher duitaka ke bharoter pach taka diye kinobe bharoter pach takar dam bangladesher dosh takar soman,hate
rohingara jodi muslim na hoye onyo dhormer onusari hoto aj bharot bangladesh tader ashryer jonno simanto khule ditokintu hay aj tara muslim hoye muslim desh bangladeshe ashryo theke tara bonchit hocchemusolim hisabe edeshe ashryo pabar odhikar tader achhe,hate
prithibir manchitro theke bharot ke muchhe deya hok,hate
ar ekti proshno sngkhaloghu bhaider bangladeshe hindura bolideyo musolomonoder jonno haram emon sob prani khabar khay bharote goru jobai er natok banaye musol man ke hotta kora hoyeche apnara nishup chiklen mayanmar hajar hajar manush marahochhochhe dhorson gnohotta manobadhikar lngghon hochhochhe apnara nisochup tamasha dekhochhen islam naki noyo borong islam sobosom,hate
mar lathi siisir mukher upor,hate
simanto khola rekhe bijibi shohorer rastay rastay ken,hate
bharote koti loker koti dorshito,hate
ain sobar jonno soman bharote paliye na jeye deshe ainer maddhome jamin niye mukto jibon japon korte parten onek bhalo kaj korechhen sathe thakte pare kichhu mondo kaj ainer maddhome lore mukto hooya uchit chilo,hate
sadharon manush ke na mere sahos thakle pakosenar sathe juddho kor pakosenar jon soman bharoter jon sena,hate
bharoter montri ekhon apnar chokh ondho sobokichhur sima achhe allar bichar alla korben,hate
awami sontras o orajokotayo dhwngser mukhe desh o jonogoner shanti o nirapotta,hate
bhartoo bangladesher tulonayo shreshtho tara ekattre ek koti lokoke ashryo diyechhilo,hate
bharot nije minite manchitro theke muchhe jabe tai bangladeshke sathe niye haoya hoye jete chay amara bharote kono sahajjo korte parbona ebong mogo hei shokti nai samorik dik theke tai pa dore kainda labh ki bol,hate
khuboi chomtkar boktbyo ebong erokom protibad boktbyo asha korchi bharoter biruddhe bibhinno choloman isyute,hate
bharoter sob channel bondo kora hok,hate
bharotke dhobngs kore dao tader ke ma kali sorge jete dakochhe taratari patiye dao,hate
bharot ke prithibir manchitro theke muchhe dite hobe,hate
bharot icchha korle ek belatei keliye kangladesher garo thanda kore dite pare,hate
bharote je notogulo bondho hoye geche ogula ene diye dilei to hoyo,hate
etai swabhabik kintu apnar desh bharote jokhon ekoi ghotona ghote tokhon apnara udasin ken,hate
hijra dol niye bharoter pashe thakbe banglodesh,hate
oboidho sorkar jotodur tene neya jayo,hate
ganja khaichhe hala bharoter ja achhe sob diyao chade jaoya somvob na ebhabe jaoya jabe na,hate
bharoter sorjontre purbo pakistan prithok hoye jayo,hate
shot nirjatito manusher jaygay hoyo na kintu lokkho bharotiyo oboidho bhabe sudhu thakolei na kajoo korche bina suloke,hate
chin lagbe na pakistan eka jotheshto bharote moto,hate
bangladesh hoye geche aj bharoter pachata golam,hate
nepale bharotiyo sob tv channel bondho,hate
kon labh nei age desher osohayo grib manushoder chikitsar byabochhotha koro ar jotoi osoe kinenona ken pakisotaner sathe judodh kore parbenona borong judodh korle bharot khonodo bikhonodo hoye jabe,hate
ei khanki bharot bangladesh ke dan korechh pakistan atonkbadi desh,hate
amar mone hoyo bharotiyo senabahini pakider vua pay karon pakira gt porshu marlo jon aj marlo jon tao abar senar matha kete dron diye bi es eph er ophiser samone phello ete bujha jayo bharotiyora khali banglader sathe pare,hate
rendiyan kuttara koi jader toylet bananor mord nai tara abar cricket khele,hate
et shokti rakhobe kuthayo kichhu shokti bharot bondhu rashtrke diye dileyo hoyo phole onek labh ban hobe bangladesh simanayo bohu manush morte parbe bharoter gulite,hate
manobotar dikeotakaben ora bangladeshe asole khoti hobe tahole chokhe kalo choshoma porebosethaken matha bethar karon nei morle ora moruk amorajen na mori kintu kar somoy kemone jabe ek allah janen sorkar bharoter manush morle shokojanan ar aj tirchhen tini bibheker kache poshnr kori amra ki muslim jati hay allah tumi oderke rhomot kor,hate
nijer obhntrin muktijoddhara manobetor jibon japon kortese porer ghore oalo deya mane hoyna kritoggntar name ekodin bangladesheta bharote kache diye diben monehoy,hate
bharoter uchit eisob oboidho rohinga khuje desh theke dur kore deya dekha jacchhe era jedeshe jacchhe sekhanokar ain shrinkhlar obonoti hocche bangladesh mayammar ar bharot eta hare hare bujhochhe,hate
toder puro muslim desh guloke bharot ekai chudbe,hate
bharot theke jodi muslim ber kore dey kemon hobe,hate
amra juddho chai amader dabi ektai kolokota amader jayga bharot amader shoson korche er bodola nite amra jubdho chai,hate
bhabochhen eta misor na eta bangladesh pherauner pretatmarai e kaj korche,hate
bharote jokhon muslim bhai bon der upor nirjaton kore tokhon to amader sorkar kono kichhu bolena tahole apnara eto kotha bolena keno,hate
mukhoshodhari jongi pakistani petatma awami olamalig namddhari dubrittder nishiddho kor prtihot kor,hate
bharot amader desher shornarthir chap samolate na pere e pakistaner biruddhe bangladesher somorthne juddho ghoshona korechilo tahole ekoi sutre boro kon desher sahajjo niye amra ken parina mayanmarer biruddhe juddhe jete jodio juddho bollei juddho noyo tobuo tader biruddhe jaoyar mot ekta kichhu kora ekdom phorj hoye geche,hate
bharoter pich ar ran hahaha bharoter sob rekordo tader nijer matitei bairer matite tader hagu ese jayo ran korte tader mukhe to e kotha manay na eta jodi iuroper mat hot tao bilibh kora jet karon ostreliyo ar england tara sob somoy boling pichokee pradanyo dey bharoter asolei lojja shorom nei,hate
mene nilam hajar hoileo dada koichhe toyo dada bangladesh rane oloaut hole bharot ei piche oloaut hoto,hate
amader desh choto bole bharoter cheye pichhiye na hoyo mutar jonno toder sathe somporko rakhotam na,hate
hayenar prtikriti bordare ekta guli korar khomota nei desher manush khun korte prstuto,hate
oi khankir baccha somoy tv toder ke juta pita korb era osohayo manush eder niuj toiri korte rat jags othocho bharoter oboidhobhabe ene ei deshe pulisher chakri dichhe sei niuj koi bhalo hoye ja,hate
si ar dotto to baper nam kina jigayo dekh ar onek musolimoo tokhon bharot ashryo niyechhilo jigayo dekh tor chachare ar amar baba tokhon kolejer chatro chilo bharot jayo nayo muktijoddhader bhat rainda khaoyaichhe harami bondhuk boma khater niche lukayo rakhto tai beshi paknami dekhais na,hate
aj tara bharot pakisthaner moddhe jhamela pakiye tader rmorma osrer bebsha chaliye jacchhe,hate
bharot magir dalal,hate
salman bin soud er desh soudi arob jodi bharotiyo kamolader soudi arob theke latthhi diye ber kore dey tahole bharotiyo shuyor hindugulo na kheye mara jabe tai bharotiyo hinduder uchit shiber lingo puja na kore soudi badoshah salomaner lingo puja kora,hate
o shalike bharot tariye dite hobe,hate
ei rokom ekta mal rendiyay achhe naki re pakistan ke ghrina korleo tader esob parmanobiker kache turai tal harabi,hate
matro poner diner kotha bole bharot ei byarej aj obdi chaliye rekhechhe mitthuk bharot,hate
bharot kingba mayanmar kono desher motoi songkhaloghu nirjaton ba nidhon bangladeshe hocche na,hate
bharotiyora apnara kot boro kanggal ekkbar chinta kore dekhen sudhu matro dillir ektu vikka paoyar jonno pura rajyer nam palte phelechhen tao rekhechhen bangladesher namer sathe mil rekhe ja shuddho kore uccharn o korte paren na lojja kore na apnader na jani kokhon nijeder sarther jonno apnader ma bon meyeder ke,hate
bharot na pakistan taipe bhul hoise,hate
bujhlam na sourbh ken emon kotha bolechen mone hoyechilo uni bangladesher bonodhu ekhon dekhchi asolei chogl khor are baba torao to ei deshe khelechhis naki emon ki tei to bharoter sathe amra ran korechhilam,hate
bojhai jai prothom alo prtinidhira bharoter jaroj sontan gorur baccha bharot chole ja,hate
salara bharotiyo rupi rakh ken,hate
kin be bharot bangladesher media toder syamosa ki arto bishwer kono midaya dekhina,hate
hachina khatun et beshi abeg bhalo na oi somoyer kojon bharotiyo jibit achhe nijer lokoder ke bharotiyo baniye taka khaoyar pondi,hate
bharotiyoder matha mota hole tomadero matha motakarn tomorao bharotiyo jati,hate
bharot kokhono bangladesher bondu na bharotke bondu bola ar bisatto sapoke chumu dibar moto,hate
bharot gorur desh giye labh nai,hate
bangladesher mirpurer mathe bharot ran korte parto na uriye dito sakib ar mehedi,hate
jebhabe eker por ek biddut kendro bharoter hate chole jacchhe tate biddut sektre bangladesh bharoter kolonite porinot hobe,hate
tarpor norendro modi mohabharte singh porush,hate
simante bharoter biesoeph bangladesher ekjon sadharon manushke hottja kore se bodola bangladesh nite naparleo pakira kiktu pushayo dicchhe etayo amader jonno khushir khobor,hate
bhul na bharot here giyechhil karon tokhon bharoter kache plet gan chilo na eta bharoter tothyo mote jana te achhe bharoter shikarukoti,hate
bharote ar es es jotodin thakbe totodin dangga hamla thakbe,hate
jara bolche edeshe jayga diya jabe na tader bhatar bari rendiyay pathiye diyar dorkar rendiyar maluder jayga dile ador dile khub bhalo lagbe tai na rendiyar dalal,hate
prithibir sobceye nichu jati holo bharoter bangali hindura gaye pore jhogra kora chara jeno ar kono kaj nai,hate
pakistan ekti sontrasi toiyari kora ebong rphotani kora desh,hate
hitire bharoter mudir sathe biye diye deya uchit sob chiriyal sorasori dekhabe,hate
rendiyar moto besya kantri bashwer ar kothao nai sara deshei magipara kumbmelayo meye urnggo hoye gosol kore,hate
bharoter mot ekti desher prodhan kibhabe emon natok korte pare,hate
bangladesh theke lobon dan kora hobe bharotke,hate
apni obosshoi janen bangladeshe kichudin purbe apnar doler doliyo kondler karne bi bariya nasirnogre sngkhyaloghuder upor hamla hoyeche swjatir nirapotta bidhane pashwborti rastar bharoter modi sorkar k,hate
ar bharoter guli kore niraporadh manushke hotta kora,hate
bharote muslim nirjatoner bichar hoyna keno kanar grer kana oigula chokhe porena,hate
ei somosto pagoler bilap koira labh nai bondhuker nol bharoter dike kat kore achen mana korb na kintu doya koira chin theke je juddho biman nichhen oidare ektu mayanmarer dike ghurayo anen rohinga jonno kichhu koren jonab nooyaj shorif,hate
toder mukhe bangladesh ar bukobhora bharot,hate
amra chai bharotke dhongsho kora hok bharoter sahos thake pakisthaner sathe juddho koruk dekhi kibhabe bharoter goru ma bharotke rokkha korbe,hate
unnyner joyare lungi aj bipod simar kachhakachhi pouchhe geche,hate
er jonno bharoter midiyake doj diye labh nei er jonno dayi bangladesheri ki bashtardo media ebong sangbadik tarai prothom etake songbad kore miraj hote pare ttaksi chaloker sontan tate osubidharr ki achhe ekjon cha bikreta jodi ekti desher prdhanomonei hote paren ekjon ttaksi draibhar er chhele ekjon bhalo kheloyardo hote osubidha kothay,hate
bharoter dalal nipat jak bangladesh mukti pak,hate
pakistan ar bangladesh mile amake 1 sahoptahor jonno raja banao ami rendiyake udai dibo,hate
bharote poton hobe hindu jnglider karne,hate
antorjatik desko not batil kande bhartojure dekha diyechhe noirajyo tate bad jaben ken montri emopira ebar moharashtrer somobaymontri subhash deshomukher gari theke lakh takar mullmaner nishiddho o ek hajar takar not uddhar kora hoyeche khobor anondbajar potrikar,hate
bharotiyo chhobi bangladeshe bondho korte hobe emon kon andolon prothom aloyo chhapa hoyo na,hate
kosai selimer humki ebar andolon korle hatpa kata hobe,hate
kon madarchud eita bolochhere je deshe islam birodhi rendiya kothay chole pheraun hasu dwara porichalit edeshe abar shanti,hate
phenite petrolobomasoh awamilig netar bhatija atok kemone ki,hate
rendiyar kuoar bacchharato obosshoi jakir nayekoke nishiddho korbe karon tader mone vua jodi d jakir nayek job bidhormike muslim baniye phale tahole rendiyar ki hobe ei bhoye rendiyar kuoa sorkar d jakir nayekoke nishiddho korche,hate
jokhon bangladeshi mare tokhon bangladesh kothor jobab dite parena bharot pakistaner ekta kak marle tar bodola hisabe bharoter ta senake khotom korbe ja kortese,hate
londn banate giye baniye dil bhenis rasta diye hatote gelei dube jacchhe penis,hate
saradeshe biddut biporjyo bharoter pa chatote giye aj ei obostha,hate
sorkarer uchit bharot sorkarer moto sarasi obhijan chalano,hate
sultan su lema ne mus lim oitihyo tu le dhorayo bharotiyo nongra si riyal bhoktra kkhe pe chhe,hate
